Merge_method,Joint_baseline,Task,Metric,N,Mean_Joint,Mean_Merge,Delta,Paired_t_p,Wilcoxon_p,Cohens_d,Direction
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,netzero_reduction,macro_f1,3,0.9886,0.9904,+0.0018,0.4778,0.7500,0.50,mixed
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,tcfd_recommendations,macro_f1,3,0.6291,0.5965,-0.0326,0.1764,0.2500,-1.19,all_B<A
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9442,0.9671,+0.0228,0.3177,0.5000,0.76,mixed
TIES_D07,FWEdu+MARK+SYN+ZYDA+LRD,wximpactbench,macro_f1,3,0.2399,0.2694,+0.0295,0.5580,0.7500,0.40,mixed
TIES_D07,MARK+SYN+LRD,clim_retrieve,f1,3,0.8259,0.8509,+0.0251,0.5897,0.7500,0.37,mixed
TIES_D07,MARK+SYN+LRD,climate_commitments_actions,f1,3,0.6636,0.7186,+0.0549,0.1075,0.2500,1.62,all_B>A
TIES_D07,MARK+SYN+LRD,climate_detection,f1,3,0.9293,0.9490,+0.0196,0.1323,0.2500,1.43,all_B>A
TIES_D07,MARK+SYN+LRD,climate_specificity,f1,3,0.7011,0.7066,+0.0055,0.4200,0.5000,0.58,mixed
TIES_D07,MARK+SYN+LRD,climate_sentiment,macro_f1,3,0.7808,0.7559,-0.0248,0.1572,0.2500,-1.28,all_B<A
TIES_D07,MARK+SYN+LRD,netzero_reduction,macro_f1,3,0.9898,0.9904,+0.0006,0.7412,0.6547,0.22,mixed
TIES_D07,MARK+SYN+LRD,tcfd_recommendations,macro_f1,3,0.6102,0.5965,-0.0137,0.1839,0.2500,-1.15,all_B<A
TIES_D07,MARK+SYN+LRD,water_forest_biodiversity_nature,macro_f1,3,0.9642,0.9671,+0.0029,0.8092,1.0000,0.16,mixed
TIES_D07,MARK+SYN+LRD,wximpactbench,macro_f1,3,0.2472,0.2694,+0.0222,0.1281,0.2500,1.45,all_B>A
