BASE-MODEL,CMB_MARK_WX_SYN_CX_LRD,CMB_MARK_CX_LRD,CMB_FWEdu_V2_CX_LRD,CMB_WX_SYN_CX_LRD,CMB_MARK_WX_SYN_CX,CMB_MARK_CX,CMB_WX_SYN_CX,CMB_FWEdu_V2_CX,CMB_FWEdu_V2_MARK_WX_SYN_CX,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX,CMB_MARK_WX_SYN_ZYDA_CX,CMB_WX_SYN_ZYDA_CX,CMB_FWEdu_V2_MARK_WX_SYN_CX_LRD,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD
"ndcg@10: 0.4981 ± 0.0029 [0.49569641980893314, 0.5022238101036395, 0.49642658673301826]","ndcg@10: 0.4755 ± 0.0041 [0.47730426289357947, 0.4794688777444732, 0.469791138639728]","ndcg@10: 0.4872 ± 0.0110 [0.4800814593593748, 0.4787981897267065, 0.5027066847962252]","ndcg@10: 0.4862 ± 0.0132 [0.4689448355841471, 0.4886519634395488, 0.5010389728495102]","ndcg@10: 0.4953 ± 0.0057 [0.5032563437600899, 0.49229373957821276, 0.4902052083133003]","ndcg@10: 0.4982 ± 0.0086 [0.4912549314897212, 0.5103022873117244, 0.492953708947546]","ndcg@10: 0.4810 ± 0.0091 [0.4885926837988483, 0.46814361672894295, 0.4861759479272043]","ndcg@10: 0.4967 ± 0.0021 [0.4996664076458291, 0.495274620852448, 0.4952458378213135]","ndcg@10: 0.4902 ± 0.0052 [0.4832323269035037, 0.49568352559130463, 0.49167375745480985]","ndcg@10: 0.5015 ± 0.0128 [0.48618280420882937, 0.5175407207430284, 0.5006512676364422]","ndcg@10: 0.4760 ± 0.0035 [0.48050635040567463, 0.4720144704508685, 0.47538607294857055]","ndcg@10: 0.4923 ± 0.0035 [0.49504614787513046, 0.48738452260759735, 0.4945157438989973]","ndcg@10: 0.4963 ± 0.0060 [0.49154080545821716, 0.4925906680805133, 0.5047466706065417]","ndcg@10: 0.4873 ± 0.0029 [0.48470052704367667, 0.4858007801505124, 0.49134571690577994]","ndcg@10: 0.4813 ± 0.0027 [0.4840820426219739, 0.48213625533209675, 0.47762135858019605]"
,,,,,,,,,,,,,,
climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:
"precision: 0.6402 ± 0.0185 [0.6538461538461539, 0.6526315789473685, 0.6140350877192983]","precision: 0.6145 ± 0.0052 [0.6218487394957983, 0.6115702479338843, 0.6101694915254238]","precision: 0.6402 ± 0.0035 [0.6410256410256411, 0.635593220338983, 0.6440677966101694]","precision: 0.6542 ± 0.0138 [0.6730769230769231, 0.6407766990291263, 0.6486486486486487]","precision: 0.6426 ± 0.0076 [0.6530612244897959, 0.639344262295082, 0.6354166666666666]","precision: 0.6298 ± 0.0101 [0.6310679611650486, 0.616822429906542, 0.6415094339622641]","precision: 0.6580 ± 0.0343 [0.6349206349206349, 0.6324786324786325, 0.7065217391304348]","precision: 0.6305 ± 0.0074 [0.64, 0.6218487394957983, 0.6296296296296297]","precision: 0.6745 ± 0.0128 [0.6777777777777778, 0.6574074074074074, 0.6883116883116883]","precision: 0.6597 ± 0.0456 [0.6931818181818182, 0.5952380952380952, 0.6907216494845361]","precision: 0.6883 ± 0.0092 [0.6875, 0.6774193548387096, 0.7]","precision: 0.6359 ± 0.0133 [0.6293103448275862, 0.6545454545454545, 0.6239316239316239]","precision: 0.6081 ± 0.0106 [0.6120689655172413, 0.6186440677966102, 0.5934959349593496]","precision: 0.6863 ± 0.0101 [0.6829268292682927, 0.676056338028169, 0.7]","precision: 0.6595 ± 0.0030 [0.6559139784946236, 0.6632653061224489, 0.6593406593406593]"
"recall: 0.6803 ± 0.0347 [0.6938775510204082, 0.6326530612244898, 0.7142857142857143]","recall: 0.7483 ± 0.0096 [0.7551020408163265, 0.7551020408163265, 0.7346938775510204]","recall: 0.7687 ± 0.0048 [0.7653061224489796, 0.7653061224489796, 0.7755102040816326]","recall: 0.7075 ± 0.0255 [0.7142857142857143, 0.673469387755102, 0.7346938775510204]","recall: 0.6905 ± 0.0756 [0.6530612244897959, 0.7959183673469388, 0.6224489795918368]","recall: 0.6769 ± 0.0127 [0.6632653061224489, 0.673469387755102, 0.6938775510204082]","recall: 0.7449 ± 0.0629 [0.8163265306122449, 0.7551020408163265, 0.6632653061224489]","recall: 0.7007 ± 0.0419 [0.6530612244897959, 0.7551020408163265, 0.6938775510204082]","recall: 0.6293 ± 0.0751 [0.6224489795918368, 0.7244897959183674, 0.5408163265306123]","recall: 0.6905 ± 0.0585 [0.6224489795918368, 0.7653061224489796, 0.6836734693877551]","recall: 0.6293 ± 0.0428 [0.673469387755102, 0.6428571428571429, 0.5714285714285714]","recall: 0.7415 ± 0.0048 [0.7448979591836735, 0.7346938775510204, 0.7448979591836735]","recall: 0.7381 ± 0.0096 [0.7244897959183674, 0.7448979591836735, 0.7448979591836735]","recall: 0.5204 ± 0.0363 [0.5714285714285714, 0.4897959183673469, 0.5]","recall: 0.6327 ± 0.0220 [0.6224489795918368, 0.6632653061224489, 0.6122448979591837]"
"f1: 0.6587 ± 0.0126 [0.6732673267326733, 0.6424870466321243, 0.660377358490566]","f1: 0.6748 ± 0.0063 [0.6820276497695853, 0.6757990867579908, 0.6666666666666666]","f1: 0.6986 ± 0.0038 [0.6976744186046512, 0.6944444444444444, 0.7037037037037037]","f1: 0.6796 ± 0.0163 [0.693069306930693, 0.6567164179104478, 0.6889952153110048]","f1: 0.6637 ± 0.0336 [0.6530612244897959, 0.7090909090909091, 0.6288659793814433]","f1: 0.6524 ± 0.0101 [0.6467661691542289, 0.6439024390243903, 0.6666666666666666]","f1: 0.6956 ± 0.0133 [0.7142857142857143, 0.6883720930232559, 0.6842105263157895]","f1: 0.6629 ± 0.0146 [0.6464646464646465, 0.6820276497695853, 0.6601941747572816]","f1: 0.6480 ± 0.0341 [0.648936170212766, 0.6893203883495146, 0.6057142857142858]","f1: 0.6709 ± 0.0128 [0.6559139784946236, 0.6696428571428571, 0.6871794871794872]","f1: 0.6564 ± 0.0210 [0.6804123711340206, 0.6596858638743456, 0.6292134831460674]","f1: 0.6845 ± 0.0056 [0.6822429906542056, 0.6923076923076923, 0.6790697674418604]","f1: 0.6667 ± 0.0066 [0.6635514018691588, 0.6759259259259259, 0.6606334841628959]","f1: 0.5912 ± 0.0228 [0.6222222222222222, 0.5680473372781065, 0.5833333333333334]","f1: 0.6456 ± 0.0126 [0.6387434554973822, 0.6632653061224489, 0.6349206349206349]"
"accuracy: 0.7844 ± 0.0077 [0.79375, 0.784375, 0.775]","accuracy: 0.7792 ± 0.0039 [0.784375, 0.778125, 0.775]","accuracy: 0.7969 ± 0.0026 [0.796875, 0.79375, 0.8]","accuracy: 0.7958 ± 0.0090 [0.80625, 0.784375, 0.796875]","accuracy: 0.7875 ± 0.0102 [0.7875, 0.8, 0.775]","accuracy: 0.7792 ± 0.0064 [0.778125, 0.771875, 0.7875]","accuracy: 0.8010 ± 0.0090 [0.8, 0.790625, 0.8125]","accuracy: 0.7823 ± 0.0015 [0.78125, 0.784375, 0.78125]","accuracy: 0.7927 ± 0.0064 [0.79375, 0.8, 0.784375]","accuracy: 0.7927 ± 0.0174 [0.8, 0.76875, 0.809375]","accuracy: 0.7990 ± 0.0053 [0.80625, 0.796875, 0.79375]","accuracy: 0.7906 ± 0.0068 [0.7875, 0.8, 0.784375]","accuracy: 0.7740 ± 0.0064 [0.775, 0.78125, 0.765625]","accuracy: 0.7802 ± 0.0064 [0.7875, 0.771875, 0.78125]","accuracy: 0.7875 ± 0.0044 [0.784375, 0.79375, 0.784375]"
,,,,,,,,,,,,,,
climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:,climate_detection:
"precision: 0.9694 ± 0.0039 [0.9640522875816994, 0.9705882352941176, 0.973421926910299]","precision: 0.9427 ± 0.0082 [0.939873417721519, 0.9539473684210527, 0.934375]","precision: 0.9537 ± 0.0014 [0.9517684887459807, 0.9548387096774194, 0.9545454545454546]","precision: 0.9792 ± 0.0030 [0.9770491803278688, 0.9833887043189369, 0.9770491803278688]","precision: 0.9578 ± 0.0073 [0.9490445859872612, 0.9668874172185431, 0.9573770491803278]","precision: 0.9625 ± 0.0038 [0.9642857142857143, 0.9572368421052632, 0.9661016949152542]","precision: 0.9558 ± 0.0058 [0.9601328903654485, 0.9475409836065574, 0.959731543624161]","precision: 0.9661 ± 0.0028 [0.9640522875816994, 0.9642857142857143, 0.9700996677740864]","precision: 0.9653 ± 0.0069 [0.9700996677740864, 0.9703947368421053, 0.9555555555555556]","precision: 0.9696 ± 0.0015 [0.9706840390879479, 0.9675324675324676, 0.9706840390879479]","precision: 0.9778 ± 0.0014 [0.9763513513513513, 0.9797297297297297, 0.9774193548387097]","precision: 0.9656 ± 0.0031 [0.9633333333333334, 0.97, 0.9635761589403974]","precision: 0.9665 ± 0.0036 [0.9704918032786886, 0.9673202614379085, 0.9617834394904459]","precision: 0.9687 ± 0.0014 [0.9676375404530745, 0.9706840390879479, 0.9676375404530745]","precision: 0.9806 ± 0.0066 [0.9834983498349835, 0.9714285714285714, 0.9867986798679867]"
