BASE-MODEL,CMB_MARK_WX_SYN_CX_LRD,CMB_MARK_CX_LRD,CMB_FWEdu_V2_CX_LRD,CMB_WX_SYN_CX_LRD,CMB_MARK_WX_SYN_CX,CMB_MARK_CX,CMB_WX_SYN_CX,CMB_FWEdu_V2_CX,CMB_FWEdu_V2_MARK_WX_SYN_CX,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX,CMB_MARK_WX_SYN_ZYDA_CX,CMB_WX_SYN_ZYDA_CX,CMB_FWEdu_V2_MARK_WX_SYN_CX_LRD,CMB_FWEdu_V2_MARK_WX_SYN_ZYDA_CX_LRD
"recall: 0.9219 ± 0.0051 [0.921875, 0.928125, 0.915625]","recall: 0.9229 ± 0.0121 [0.928125, 0.90625, 0.934375]","recall: 0.9229 ± 0.0029 [0.925, 0.925, 0.91875]","recall: 0.9292 ± 0.0029 [0.93125, 0.925, 0.93125]","recall: 0.9188 ± 0.0088 [0.93125, 0.9125, 0.9125]","recall: 0.9094 ± 0.0153 [0.928125, 0.909375, 0.890625]","recall: 0.9000 ± 0.0044 [0.903125, 0.903125, 0.89375]","recall: 0.9208 ± 0.0064 [0.921875, 0.928125, 0.9125]","recall: 0.9250 ± 0.0117 [0.9125, 0.921875, 0.940625]","recall: 0.9313 ± 0.0000 [0.93125, 0.93125, 0.93125]","recall: 0.9188 ± 0.0199 [0.903125, 0.90625, 0.946875]","recall: 0.9073 ± 0.0029 [0.903125, 0.909375, 0.909375]","recall: 0.9313 ± 0.0088 [0.925, 0.925, 0.94375]","recall: 0.9333 ± 0.0015 [0.934375, 0.93125, 0.934375]","recall: 0.9406 ± 0.0111 [0.93125, 0.95625, 0.934375]"
"f1: 0.9450 ± 0.0028 [0.9424920127795527, 0.9488817891373802, 0.9436392914653784]","f1: 0.9326 ± 0.0022 [0.9339622641509434, 0.9294871794871795, 0.934375]","f1: 0.9381 ± 0.0014 [0.9381933438985737, 0.9396825396825397, 0.9363057324840764]","f1: 0.9535 ± 0.0001 [0.9536, 0.9533011272141707, 0.9536]","f1: 0.9378 ± 0.0024 [0.9400630914826499, 0.9389067524115756, 0.9344]","f1: 0.9351 ± 0.0080 [0.945859872611465, 0.9326923076923077, 0.926829268292683]","f1: 0.9270 ± 0.0026 [0.9307568438003221, 0.9248, 0.9255663430420712]","f1: 0.9429 ± 0.0022 [0.9424920127795527, 0.945859872611465, 0.9404186795491143]","f1: 0.9447 ± 0.0032 [0.9404186795491143, 0.9455128205128205, 0.9480314960629921]","f1: 0.9501 ± 0.0007 [0.9505582137161085, 0.9490445859872612, 0.9505582137161085]","f1: 0.9473 ± 0.0104 [0.9383116883116883, 0.9415584415584416, 0.9619047619047619]","f1: 0.9356 ± 0.0026 [0.932258064516129, 0.9387096774193548, 0.9356913183279743]","f1: 0.9485 ± 0.0030 [0.9472, 0.9456869009584664, 0.9526813880126183]","f1: 0.9507 ± 0.0001 [0.9507154213036566, 0.9505582137161085, 0.9507154213036566]","f1: 0.9601 ± 0.0029 [0.956661316211878, 0.9637795275590552, 0.9598715890850722]"
"accuracy: 0.9142 ± 0.0042 [0.91, 0.92, 0.9125]","accuracy: 0.8933 ± 0.0024 [0.895, 0.89, 0.895]","accuracy: 0.9025 ± 0.0020 [0.9025, 0.905, 0.9]","accuracy: 0.9275 ± 0.0000 [0.9275, 0.9275, 0.9275]","accuracy: 0.9025 ± 0.0035 [0.905, 0.905, 0.8975]","accuracy: 0.8992 ± 0.0116 [0.915, 0.895, 0.8875]","accuracy: 0.8867 ± 0.0042 [0.8925, 0.8825, 0.885]","accuracy: 0.9108 ± 0.0031 [0.91, 0.915, 0.9075]","accuracy: 0.9133 ± 0.0042 [0.9075, 0.915, 0.9175]","accuracy: 0.9217 ± 0.0012 [0.9225, 0.92, 0.9225]","accuracy: 0.9183 ± 0.0155 [0.905, 0.91, 0.94]","accuracy: 0.9000 ± 0.0041 [0.895, 0.905, 0.9]","accuracy: 0.9192 ± 0.0042 [0.9175, 0.915, 0.925]","accuracy: 0.9225 ± 0.0000 [0.9225, 0.9225, 0.9225]","accuracy: 0.9375 ± 0.0041 [0.9325, 0.9425, 0.9375]"
,,,,,,,,,,,,,,
climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:,climate_specificity:
"precision: 0.8481 ± 0.0182 [0.8395061728395061, 0.8734177215189873, 0.8313253012048193]","precision: 0.8427 ± 0.0065 [0.8390804597701149, 0.8518518518518519, 0.8372093023255814]","precision: 0.8406 ± 0.0411 [0.8536585365853658, 0.8831168831168831, 0.7849462365591398]","precision: 0.8582 ± 0.0151 [0.8674698795180723, 0.8369565217391305, 0.8701298701298701]","precision: 0.8193 ± 0.0110 [0.8181818181818182, 0.8333333333333334, 0.8064516129032258]","precision: 0.8301 ± 0.0242 [0.8043478260869565, 0.8235294117647058, 0.8625]","precision: 0.8764 ± 0.0322 [0.9180327868852459, 0.8717948717948718, 0.8395061728395061]","precision: 0.8224 ± 0.0132 [0.8043478260869565, 0.8352941176470589, 0.8275862068965517]","precision: 0.8358 ± 0.0189 [0.8390804597701149, 0.8111111111111111, 0.8571428571428571]","precision: 0.8220 ± 0.0197 [0.8020833333333334, 0.8152173913043478, 0.8488372093023255]","precision: 0.8695 ± 0.0097 [0.8823529411764706, 0.8674698795180723, 0.8588235294117647]","precision: 0.8332 ± 0.0364 [0.8717948717948718, 0.8433734939759037, 0.7843137254901961]","precision: 0.8205 ± 0.0116 [0.8043478260869565, 0.8255813953488372, 0.8314606741573034]","precision: 0.8653 ± 0.0158 [0.8620689655172413, 0.8478260869565217, 0.8860759493670886]","precision: 0.8594 ± 0.0113 [0.8717948717948718, 0.8444444444444444, 0.8620689655172413]"
"recall: 0.5583 ± 0.0038 [0.5528455284552846, 0.5609756097560976, 0.5609756097560976]","recall: 0.5799 ± 0.0138 [0.5934959349593496, 0.5609756097560976, 0.5853658536585366]","recall: 0.5718 ± 0.0167 [0.5691056910569106, 0.5528455284552846, 0.5934959349593496]","recall: 0.5854 ± 0.0332 [0.5853658536585366, 0.6260162601626016, 0.5447154471544715]","recall: 0.6016 ± 0.0115 [0.5853658536585366, 0.6097560975609756, 0.6097560975609756]","recall: 0.5772 ± 0.0176 [0.6016260162601627, 0.5691056910569106, 0.5609756097560976]","recall: 0.5203 ± 0.0460 [0.45528455284552843, 0.5528455284552846, 0.5528455284552846]","recall: 0.5881 ± 0.0101 [0.6016260162601627, 0.5772357723577236, 0.5853658536585366]","recall: 0.5745 ± 0.0268 [0.5934959349593496, 0.5934959349593496, 0.5365853658536586]","recall: 0.6098 ± 0.0133 [0.6260162601626016, 0.6097560975609756, 0.5934959349593496]","recall: 0.5962 ± 0.0101 [0.6097560975609756, 0.5853658536585366, 0.5934959349593496]","recall: 0.5908 ± 0.0427 [0.5528455284552846, 0.5691056910569106, 0.6504065040650406]","recall: 0.5935 ± 0.0115 [0.6016260162601627, 0.5772357723577236, 0.6016260162601627]","recall: 0.6043 ± 0.0268 [0.6097560975609756, 0.6341463414634146, 0.5691056910569106]","recall: 0.5935 ± 0.0289 [0.5528455284552846, 0.6178861788617886, 0.6097560975609756]"
"f1: 0.6732 ± 0.0071 [0.6666666666666666, 0.6831683168316832, 0.6699029126213593]","f1: 0.6869 ± 0.0078 [0.6952380952380952, 0.6764705882352942, 0.6889952153110048]","f1: 0.6796 ± 0.0029 [0.6829268292682927, 0.68, 0.6759259259259259]","f1: 0.6951 ± 0.0191 [0.6990291262135923, 0.7162790697674418, 0.67]","f1: 0.6937 ± 0.0089 [0.6824644549763034, 0.704225352112676, 0.6944444444444444]","f1: 0.6804 ± 0.0063 [0.6883720930232559, 0.6730769230769231, 0.6798029556650246]","f1: 0.6507 ± 0.0299 [0.6086956521739131, 0.6766169154228856, 0.6666666666666666]","f1: 0.6856 ± 0.0023 [0.6883720930232559, 0.6826923076923077, 0.6857142857142857]","f1: 0.6802 ± 0.0149 [0.6952380952380952, 0.6854460093896714, 0.66]","f1: 0.6998 ± 0.0024 [0.7031963470319634, 0.6976744186046512, 0.6985645933014354]","f1: 0.7074 ± 0.0098 [0.7211538461538461, 0.6990291262135923, 0.7019230769230769]","f1: 0.6891 ± 0.0156 [0.6766169154228856, 0.6796116504854369, 0.7111111111111111]","f1: 0.6886 ± 0.0076 [0.6883720930232559, 0.6794258373205742, 0.6981132075471698]","f1: 0.7110 ± 0.0135 [0.7142857142857143, 0.7255813953488373, 0.693069306930693]","f1: 0.7015 ± 0.0176 [0.6766169154228856, 0.7136150234741784, 0.7142857142857143]"
"accuracy: 0.7917 ± 0.0059 [0.7875, 0.8, 0.7875]","accuracy: 0.7969 ± 0.0026 [0.8, 0.79375, 0.796875]","accuracy: 0.7927 ± 0.0082 [0.796875, 0.8, 0.78125]","accuracy: 0.8031 ± 0.0068 [0.80625, 0.809375, 0.79375]","accuracy: 0.7958 ± 0.0053 [0.790625, 0.803125, 0.79375]","accuracy: 0.7917 ± 0.0039 [0.790625, 0.7875, 0.796875]","accuracy: 0.7865 ± 0.0090 [0.775, 0.796875, 0.7875]","accuracy: 0.7927 ± 0.0015 [0.790625, 0.79375, 0.79375]","accuracy: 0.7927 ± 0.0053 [0.8, 0.790625, 0.7875]","accuracy: 0.7990 ± 0.0029 [0.796875, 0.796875, 0.803125]","accuracy: 0.8104 ± 0.0059 [0.81875, 0.80625, 0.80625]","accuracy: 0.7958 ± 0.0015 [0.796875, 0.79375, 0.796875]","accuracy: 0.7938 ± 0.0044 [0.790625, 0.790625, 0.8]","accuracy: 0.8115 ± 0.0039 [0.8125, 0.815625, 0.80625]","accuracy: 0.8063 ± 0.0068 [0.796875, 0.809375, 0.8125]"
,,,,,,,,,,,,,,
climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:
"micro_f1: 0.7400 ± 0.0051 [0.7349, 0.7400, 0.7451]","micro_f1: 0.7677 ± 0.0188 [0.759375, 0.79375, 0.75]","micro_f1: 0.7750 ± 0.0088 [0.76875, 0.76875, 0.7875]","micro_f1: 0.7865 ± 0.0053 [0.78125, 0.784375, 0.79375]","micro_f1: 0.7688 ± 0.0284 [0.775, 0.8, 0.73125]","micro_f1: 0.7562 ± 0.0288 [0.796875, 0.734375, 0.7375]","micro_f1: 0.7917 ± 0.0059 [0.7875, 0.7875, 0.8]","micro_f1: 0.7896 ± 0.0170 [0.803125, 0.765625, 0.8]","micro_f1: 0.7875 ± 0.0051 [0.79375, 0.7875, 0.78125]","micro_f1: 0.7719 ± 0.0088 [0.778125, 0.759375, 0.778125]","micro_f1: 0.7760 ± 0.0174 [0.759375, 0.8, 0.76875]","micro_f1: 0.7729 ± 0.0039 [0.76875, 0.778125, 0.771875]","micro_f1: 0.7740 ± 0.0217 [0.79375, 0.74375, 0.784375]","micro_f1: 0.7562 ± 0.0155 [0.765625, 0.76875, 0.734375]","micro_f1: 0.7635 ± 0.0064 [0.75625, 0.771875, 0.7625]"
"macro_f1: 0.7175 ± 0.0405 [0.7745514742069707, 0.6844192870476697, 0.6935672101107678]","macro_f1: 0.7312 ± 0.0277 [0.7189933857774647, 0.7694310915040147, 0.7050606871214669]","macro_f1: 0.7505 ± 0.0096 [0.7424722142910017, 0.7448709759836484, 0.7640197036236077]","macro_f1: 0.7693 ± 0.0038 [0.7668540389128623, 0.7663708255106104, 0.7746017004022799]","macro_f1: 0.7476 ± 0.0271 [0.7428160101249802, 0.7828924034086621, 0.7170158178518085]","macro_f1: 0.7175 ± 0.0405 [0.7745514742069707, 0.6844192870476697, 0.6935672101107678]","macro_f1: 0.7673 ± 0.0050 [0.7626425217974514, 0.7649984152053227, 0.7742243484031359]","macro_f1: 0.7702 ± 0.0146 [0.7863722111765372, 0.751026751026751, 0.7730617575600434]","macro_f1: 0.7629 ± 0.0049 [0.7677975807633818, 0.7646477354421278, 0.7562819906555935]","macro_f1: 0.7488 ± 0.0062 [0.7529135785993194, 0.7399780309163541, 0.7534396497811132]","macro_f1: 0.7534 ± 0.0189 [0.735287074599955, 0.7794440127773461, 0.745490281059738]","macro_f1: 0.7477 ± 0.0037 [0.7437639030555444, 0.7526422547240311, 0.746644370122631]","macro_f1: 0.7489 ± 0.0263 [0.7723881067691182, 0.7121250114930998, 0.7621529446054544]","macro_f1: 0.7392 ± 0.0118 [0.7493449344934494, 0.7455511820303108, 0.7226464817979149]","macro_f1: 0.7375 ± 0.0080 [0.7265217347422815, 0.745294418842806, 0.7407386771517622]"
"weighted_f1: 0.7554 ± 0.0311 [0.7992412718297467, 0.7310885940996841, 0.7357746815077311]","weighted_f1: 0.7687 ± 0.0201 [0.759863728425502, 0.7965833468815636, 0.7497619955124176]","weighted_f1: 0.7780 ± 0.0084 [0.7720887860473971, 0.7719363383048032, 0.7898765697768166]","weighted_f1: 0.7876 ± 0.0057 [0.7820684228083125, 0.7851838517665131, 0.7954033397063038]","weighted_f1: 0.7685 ± 0.0307 [0.7745251542477456, 0.8027628541142621, 0.7281902086521581]","weighted_f1: 0.7554 ± 0.0311 [0.7992412718297467, 0.7310885940996841, 0.7357746815077311]","weighted_f1: 0.7950 ± 0.0052 [0.7898849346076459, 0.7930582454129377, 0.8020656970093153]","weighted_f1: 0.7902 ± 0.0170 [0.8036817430727018, 0.7662774725274725, 0.8006420371063928]","weighted_f1: 0.7895 ± 0.0049 [0.7955071084626748, 0.7895610546968608, 0.7834649681426038]","weighted_f1: 0.7736 ± 0.0066 [0.7779629987022639, 0.764262491590554, 0.7786336186679175]","weighted_f1: 0.7787 ± 0.0160 [0.7631706521509466, 0.8006764763014763, 0.772363040839626]","weighted_f1: 0.7768 ± 0.0036 [0.7729428845513595, 0.7816650208177645, 0.7757729933110369]","weighted_f1: 0.7759 ± 0.0224 [0.7960517117652461, 0.744703000012538, 0.7868832296000684]","weighted_f1: 0.7594 ± 0.0142 [0.7676400765076508, 0.7711135818582505, 0.7395065474847128]","weighted_f1: 0.7637 ± 0.0063 [0.7562739387470858, 0.7716530337941628, 0.7630993581335457]"
"accuracy: 0.7400 ± 0.0051 [0.7349, 0.7400, 0.7451]","accuracy: 0.7677 ± 0.0188 [0.759375, 0.79375, 0.75]","accuracy: 0.7750 ± 0.0088 [0.76875, 0.76875, 0.7875]","accuracy: 0.7865 ± 0.0053 [0.78125, 0.784375, 0.79375]","accuracy: 0.7688 ± 0.0284 [0.775, 0.8, 0.73125]","accuracy: 0.7562 ± 0.0288 [0.796875, 0.734375, 0.7375]","accuracy: 0.7917 ± 0.0059 [0.7875, 0.7875, 0.8]","accuracy: 0.7896 ± 0.0170 [0.803125, 0.765625, 0.8]","accuracy: 0.7875 ± 0.0051 [0.79375, 0.7875, 0.78125]","accuracy: 0.7719 ± 0.0088 [0.778125, 0.759375, 0.778125]","accuracy: 0.7760 ± 0.0174 [0.759375, 0.8, 0.76875]","accuracy: 0.7729 ± 0.0039 [0.76875, 0.778125, 0.771875]","accuracy: 0.7740 ± 0.0217 [0.79375, 0.74375, 0.784375]","accuracy: 0.7562 ± 0.0155 [0.765625, 0.76875, 0.734375]","accuracy: 0.7635 ± 0.0064 [0.75625, 0.771875, 0.7625]"
,,,,,,,,,,,,,,
netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:
"micro_f1: 0.9889 ± 0.0056 [0.9811320754716981, 0.9912917271407837, 0.9941944847605225]","micro_f1: 0.9918 ± 0.0007 [0.9912917271407837, 0.9912917271407837, 0.9927431059506531]","micro_f1: 0.9845 ± 0.0108 [0.969521044992743, 0.9898403483309144, 0.9941944847605225]","micro_f1: 0.9913 ± 0.0000 [0.9912917271407837, 0.9912917271407837, 0.9912917271407837]","micro_f1: 0.9923 ± 0.0007 [0.9927431059506531, 0.9927431059506531, 0.9912917271407837]","micro_f1: 0.9894 ± 0.0030 [0.9927431059506531, 0.9854862119013063, 0.9898403483309144]","micro_f1: 0.9879 ± 0.0048 [0.9912917271407837, 0.9912917271407837, 0.9811320754716981]","micro_f1: 0.9850 ± 0.0038 [0.988388969521045, 0.9796806966618288, 0.9869375907111756]","micro_f1: 0.9932 ± 0.0007 [0.9927431059506531, 0.9927431059506531, 0.9941944847605225]","micro_f1: 0.9913 ± 0.0012 [0.9898403483309144, 0.9912917271407837, 0.9927431059506531]","micro_f1: 0.9860 ± 0.0065 [0.9912917271407837, 0.97677793904209, 0.9898403483309144]","micro_f1: 0.9908 ± 0.0007 [0.9898403483309144, 0.9912917271407837, 0.9912917271407837]","micro_f1: 0.9923 ± 0.0007 [0.9927431059506531, 0.9927431059506531, 0.9912917271407837]","micro_f1: 0.9874 ± 0.0034 [0.9825834542815675, 0.9898403483309144, 0.9898403483309144]","micro_f1: 0.9908 ± 0.0014 [0.9898403483309144, 0.9898403483309144, 0.9927431059506531]"
"macro_f1: 0.9866 ± 0.0064 [0.9777507063294687, 0.98919452755105, 0.9927906976744186]","macro_f1: 0.9898 ± 0.0009 [0.9891860465116279, 0.9891769224055164, 0.9909846375315355]","macro_f1: 0.9814 ± 0.0125 [0.963945384917252, 0.9873887617594711, 0.9927906976744186]","macro_f1: 0.9892 ± 0.0000 [0.9891860465116279, 0.9891860465116279, 0.9891860465116279]","macro_f1: 0.9904 ± 0.0008 [0.9909846375315355, 0.9909846375315355, 0.9891860465116279]","macro_f1: 0.9869 ± 0.0035 [0.9909767651703136, 0.9824599101001551, 0.9873784925441499]","macro_f1: 0.9851 ± 0.0058 [0.9891860465116279, 0.9891860465116279, 0.9769754437800403]","macro_f1: 0.9820 ± 0.0046 [0.9863819648780382, 0.975600487578344, 0.9841582090000306]","macro_f1: 0.9916 ± 0.0009 [0.9909846375315355, 0.9909846375315355, 0.9927906976744186]","macro_f1: 0.9896 ± 0.0012 [0.9881728956144027, 0.9896190221142612, 0.9909919726853365]","macro_f1: 0.9830 ± 0.0075 [0.98919452755105, 0.9725188759287414, 0.9873887617594711]","macro_f1: 0.9886 ± 0.0008 [0.9873887617594711, 0.9891860465116279, 0.9891860465116279]","macro_f1: 0.9904 ± 0.0008 [0.9909846375315355, 0.9909846375315355, 0.9891860465116279]","macro_f1: 0.9851 ± 0.0035 [0.9802262200329667, 0.9873887617594711, 0.9877101220321909]","macro_f1: 0.9886 ± 0.0017 [0.9873887617594711, 0.9873887617594711, 0.9909846375315355]"
"weighted_f1: 0.9889 ± 0.0056 [0.9812011407649447, 0.9912917271407837, 0.994192122050832]","weighted_f1: 0.9918 ± 0.0007 [0.9912881830762481, 0.9912841263091008, 0.9927385157513533]","weighted_f1: 0.9846 ± 0.0107 [0.9696806124060866, 0.9898383555911296, 0.994192122050832]","weighted_f1: 0.9913 ± 0.0000 [0.9912881830762481, 0.9912881830762481, 0.9912881830762481]","weighted_f1: 0.9923 ± 0.0007 [0.9927385157513533, 0.9927385157513533, 0.9912881830762481]","weighted_f1: 0.9894 ± 0.0030 [0.9927349208682604, 0.9855045566527665, 0.9898339220518947]","weighted_f1: 0.9879 ± 0.0048 [0.9912881830762481, 0.9912881830762481, 0.9811769071082632]","weighted_f1: 0.9851 ± 0.0038 [0.9884152471437105, 0.979792210652088, 0.9869705421446026]","weighted_f1: 0.9932 ± 0.0007 [0.9927385157513533, 0.9927385157513533, 0.994192122050832]","weighted_f1: 0.9913 ± 0.0012 [0.9898607791325811, 0.9912823527209916, 0.9927416825650927]","weighted_f1: 0.9860 ± 0.0065 [0.9912917271407837, 0.9768580937249585, 0.9898383555911296]","weighted_f1: 0.9908 ± 0.0007 [0.9898383555911296, 0.9912881830762481, 0.9912881830762481]","weighted_f1: 0.9923 ± 0.0007 [0.9927385157513533, 0.9927385157513533, 0.9912881830762481]","weighted_f1: 0.9874 ± 0.0034 [0.9826516735556444, 0.9898383555911296, 0.9898462484514489]","weighted_f1: 0.9908 ± 0.0014 [0.9898383555911296, 0.9898383555911296, 0.9927385157513533]"
"accuracy: 0.9889 ± 0.0056 [0.9811320754716981, 0.9912917271407837, 0.9941944847605225]","accuracy: 0.9918 ± 0.0007 [0.9912917271407837, 0.9912917271407837, 0.9927431059506531]","accuracy: 0.9845 ± 0.0108 [0.969521044992743, 0.9898403483309144, 0.9941944847605225]","accuracy: 0.9913 ± 0.0000 [0.9912917271407837, 0.9912917271407837, 0.9912917271407837]","accuracy: 0.9923 ± 0.0007 [0.9927431059506531, 0.9927431059506531, 0.9912917271407837]","accuracy: 0.9894 ± 0.0030 [0.9927431059506531, 0.9854862119013063, 0.9898403483309144]","accuracy: 0.9879 ± 0.0048 [0.9912917271407837, 0.9912917271407837, 0.9811320754716981]","accuracy: 0.9850 ± 0.0038 [0.988388969521045, 0.9796806966618288, 0.9869375907111756]","accuracy: 0.9932 ± 0.0007 [0.9927431059506531, 0.9927431059506531, 0.9941944847605225]","accuracy: 0.9913 ± 0.0012 [0.9898403483309144, 0.9912917271407837, 0.9927431059506531]","accuracy: 0.9860 ± 0.0065 [0.9912917271407837, 0.97677793904209, 0.9898403483309144]","accuracy: 0.9908 ± 0.0007 [0.9898403483309144, 0.9912917271407837, 0.9912917271407837]","accuracy: 0.9923 ± 0.0007 [0.9927431059506531, 0.9927431059506531, 0.9912917271407837]","accuracy: 0.9874 ± 0.0034 [0.9825834542815675, 0.9898403483309144, 0.9898403483309144]","accuracy: 0.9908 ± 0.0014 [0.9898403483309144, 0.9898403483309144, 0.9927431059506531]"
,,,,,,,,,,,,,,
tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:
"micro_f1: 0.6942 ± 0.0133 [0.6775, 0.695, 0.71]","micro_f1: 0.6942 ± 0.0024 [0.6925, 0.6975, 0.6925]","micro_f1: 0.6933 ± 0.0077 [0.6825, 0.6975, 0.7]","micro_f1: 0.6817 ± 0.0112 [0.695, 0.6825, 0.6675]","micro_f1: 0.6983 ± 0.0047 [0.695, 0.705, 0.695]","micro_f1: 0.6908 ± 0.0085 [0.6875, 0.7025, 0.6825]","micro_f1: 0.6833 ± 0.0092 [0.695, 0.6725, 0.6825]","micro_f1: 0.6842 ± 0.0112 [0.7, 0.675, 0.6775]","micro_f1: 0.6767 ± 0.0066 [0.6825, 0.68, 0.6675]","micro_f1: 0.6800 ± 0.0094 [0.6675, 0.69, 0.6825]","micro_f1: 0.6775 ± 0.0041 [0.6775, 0.6725, 0.6825]","micro_f1: 0.6750 ± 0.0106 [0.66, 0.6825, 0.6825]","micro_f1: 0.7025 ± 0.0141 [0.7225, 0.6925, 0.6925]","micro_f1: 0.7008 ± 0.0254 [0.7175, 0.72, 0.665]","micro_f1: 0.7158 ± 0.0096 [0.72, 0.725, 0.7025]"
"macro_f1: 0.6006 ± 0.0066 [0.5937713285907564, 0.5984468192688268, 0.6094825311161427]","macro_f1: 0.5953 ± 0.0055 [0.5889424471223522, 0.60235290948323, 0.594611662846957]","macro_f1: 0.5985 ± 0.0070 [0.5899651787765935, 0.5986161765941813, 0.6070179045820348]","macro_f1: 0.5959 ± 0.0168 [0.6167079423626451, 0.5952559491051785, 0.5756419626033693]","macro_f1: 0.6111 ± 0.0024 [0.6121575493880063, 0.6134057973242346, 0.6077531837950687]","macro_f1: 0.6004 ± 0.0069 [0.6021851467029278, 0.6078592120370503, 0.5912907069701495]","macro_f1: 0.5869 ± 0.0112 [0.6025970062753702, 0.577271564219782, 0.5809737999837087]","macro_f1: 0.6098 ± 0.0066 [0.6180061877080857, 0.6095583985841544, 0.6018765570183031]","macro_f1: 0.5910 ± 0.0099 [0.5951571186420768, 0.6005904882792321, 0.5773645810595702]","macro_f1: 0.5895 ± 0.0105 [0.5746229845840638, 0.5974882060204562, 0.5963924015882822]","macro_f1: 0.5922 ± 0.0071 [0.5925675602292803, 0.5832789651569599, 0.6006756273116063]","macro_f1: 0.5988 ± 0.0129 [0.5812766110395725, 0.603069373659459, 0.6119711813194741]","macro_f1: 0.6303 ± 0.0125 [0.6478100648362929, 0.6196324971887368, 0.6233506603921484]","macro_f1: 0.6235 ± 0.0219 [0.6368870636495183, 0.640987466095921, 0.5926922115350274]","macro_f1: 0.6291 ± 0.0125 [0.633786067128036, 0.6415370516925243, 0.611954943393499]"
"weighted_f1: 0.6857 ± 0.0082 [0.6756353988774477, 0.6855310683530759, 0.6958346419150828]","weighted_f1: 0.6817 ± 0.0023 [0.6798821099328721, 0.6849740802584104, 0.6803208556149732]","weighted_f1: 0.6830 ± 0.0072 [0.6729867540664418, 0.6866815984001811, 0.6893863763168895]","weighted_f1: 0.6692 ± 0.0118 [0.6832414020225767, 0.6701335612549131, 0.6542808786467945]","weighted_f1: 0.6853 ± 0.0047 [0.6829178091282659, 0.6918133320260673, 0.6811693935112784]","weighted_f1: 0.6813 ± 0.0073 [0.6783041412327812, 0.6913585077478547, 0.6743851230070742]","weighted_f1: 0.6752 ± 0.0095 [0.6884217694543782, 0.6662442007621298, 0.6710533913308977]","weighted_f1: 0.6773 ± 0.0095 [0.6907523867638714, 0.6710565235688416, 0.6701270697307106]","weighted_f1: 0.6696 ± 0.0070 [0.6738052967511788, 0.6752128731106651, 0.6598061882733187]","weighted_f1: 0.6706 ± 0.0085 [0.6591662624693633, 0.6793195022573432, 0.6733802818411256]","weighted_f1: 0.6659 ± 0.0047 [0.6668339208179193, 0.6596823855914485, 0.6711721522391878]","weighted_f1: 0.6741 ± 0.0089 [0.6617122060323447, 0.6781396093785282, 0.6823775456192752]","weighted_f1: 0.6967 ± 0.0124 [0.714230050274506, 0.6879825683281275, 0.6877415059244055]","weighted_f1: 0.6925 ± 0.0234 [0.7064969531632328, 0.71161154780505, 0.6595132855019549]","weighted_f1: 0.7041 ± 0.0103 [0.7093887769182458, 0.7132679362691082, 0.6896417271979298]"
"accuracy: 0.6942 ± 0.0133 [0.6775, 0.695, 0.71]","accuracy: 0.6942 ± 0.0024 [0.6925, 0.6975, 0.6925]","accuracy: 0.6933 ± 0.0077 [0.6825, 0.6975, 0.7]","accuracy: 0.6817 ± 0.0112 [0.695, 0.6825, 0.6675]","accuracy: 0.6983 ± 0.0047 [0.695, 0.705, 0.695]","accuracy: 0.6908 ± 0.0085 [0.6875, 0.7025, 0.6825]","accuracy: 0.6833 ± 0.0092 [0.695, 0.6725, 0.6825]","accuracy: 0.6842 ± 0.0112 [0.7, 0.675, 0.6775]","accuracy: 0.6767 ± 0.0066 [0.6825, 0.68, 0.6675]","accuracy: 0.6800 ± 0.0094 [0.6675, 0.69, 0.6825]","accuracy: 0.6775 ± 0.0041 [0.6775, 0.6725, 0.6825]","accuracy: 0.6750 ± 0.0106 [0.66, 0.6825, 0.6825]","accuracy: 0.7025 ± 0.0141 [0.7225, 0.6925, 0.6925]","accuracy: 0.7008 ± 0.0254 [0.7175, 0.72, 0.665]","accuracy: 0.7158 ± 0.0096 [0.72, 0.725, 0.7025]"
,,,,,,,,,,,,,,
