CMB_MARK_CX,CMB_MARK_WX_SYN_CX,CMB_MARK_WX_SYN_CX_LRD,CMB_MARK_CX_LRD
"accuracy: 0.9094 ± 0.0000 [0.909433962264151, 0.909433962264151, 0.909433962264151, 0.909433962264151, 0.909433962264151, 0.909433962264151, 0.909433962264151, 0.909433962264151, 0.909433962264151, 0.909433962264151]","accuracy: 0.9132 ± 0.0000 [0.9132075471698113, 0.9132075471698113, 0.9132075471698113, 0.9132075471698113, 0.9132075471698113, 0.9132075471698113, 0.9132075471698113, 0.9132075471698113, 0.9132075471698113, 0.9132075471698113]","accuracy: 0.9245 ± 0.0000 [0.9245283018867925, 0.9245283018867925, 0.9245283018867925, 0.9245283018867925, 0.9245283018867925, 0.9245283018867925, 0.9245283018867925, 0.9245283018867925, 0.9245283018867925, 0.9245283018867925]","accuracy: 0.9170 ± 0.0000 [0.9169811320754717, 0.9169811320754717, 0.9169811320754717, 0.9169811320754717, 0.9169811320754717, 0.9169811320754717, 0.9169811320754717, 0.9169811320754717, 0.9169811320754717, 0.9169811320754717]"
,,,
netzero_reduction:,netzero_reduction:,netzero_reduction:,netzero_reduction:
"micro_f1: 0.9874 ± 0.0072 [0.9912917271407837, 0.988388969521045, 0.9912917271407837, 0.9666182873730044, 0.9927431059506531, 0.9869375907111756, 0.9898403483309144, 0.988388969521045, 0.9869375907111756, 0.9912917271407837]","micro_f1: 0.9853 ± 0.0074 [0.9666182873730044, 0.9825834542815675, 0.9927431059506531, 0.9811320754716981, 0.9898403483309144, 0.9912917271407837, 0.9825834542815675, 0.9912917271407837, 0.9854862119013063, 0.9898403483309144]","micro_f1: 0.9907 ± 0.0013 [0.9927431059506531, 0.9912917271407837, 0.9912917271407837, 0.9912917271407837, 0.988388969521045, 0.9898403483309144, 0.9898403483309144, 0.9898403483309144, 0.9927431059506531, 0.9898403483309144]","micro_f1: 0.9832 ± 0.0103 [0.9680696661828737, 0.9898403483309144, 0.9680696661828737, 0.9898403483309144, 0.9854862119013063, 0.9666182873730044, 0.9898403483309144, 0.9927431059506531, 0.9912917271407837, 0.9898403483309144]"
"macro_f1: 0.9847 ± 0.0082 [0.9891860465116279, 0.9855927034014001, 0.9891860465116279, 0.9610725984833292, 0.9909919726853365, 0.984217293658895, 0.9873784925441499, 0.986048935997883, 0.9838194036667319, 0.98919452755105]","macro_f1: 0.9822 ± 0.0088 [0.9600423106080102, 0.9792161034777068, 0.9909846375315355, 0.9770912780809528, 0.9873887617594711, 0.9891860465116279, 0.9788563930719181, 0.9891769224055164, 0.9824444215490992, 0.9873982825078579]","macro_f1: 0.9885 ± 0.0017 [0.9909846375315355, 0.9891860465116279, 0.9891860465116279, 0.9891860465116279, 0.9855813953488372, 0.9873887617594711, 0.9873784925441499, 0.9873887617594711, 0.9909846375315355, 0.9873887617594711]","macro_f1: 0.9797 ± 0.0121 [0.9621962344545576, 0.9877239778739298, 0.962182948780887, 0.9873887617594711, 0.9824661616227042, 0.9604051608689886, 0.9873887617594711, 0.9909919726853365, 0.9891860465116279, 0.9874070581408002]"
"weighted_f1: 0.9874 ± 0.0072 [0.9912881830762481, 0.988388969521045, 0.9912881830762481, 0.9665764612481123, 0.9927416825650927, 0.9869224944733411, 0.9898339220518947, 0.98840246235982, 0.9869475336077005, 0.9912917271407837]","weighted_f1: 0.9854 ± 0.0074 [0.9666314128577222, 0.98263194610956, 0.9927385157513533, 0.9811588317046132, 0.9898383555911296, 0.9912881830762481, 0.9826053124160764, 0.9912841263091008, 0.9855024189148383, 0.9898421920673797]","weighted_f1: 0.9907 ± 0.0013 [0.9927385157513533, 0.9912881830762481, 0.9912881830762481, 0.9912881830762481, 0.988384244101664, 0.9898383555911296, 0.9898339220518947, 0.9898383555911296, 0.9927385157513533, 0.9898383555911296]","weighted_f1: 0.9832 ± 0.0103 [0.9682415235247639, 0.9898538411696893, 0.9682415943649166, 0.9898383555911296, 0.9855044285244808, 0.9667999130094939, 0.9898383555911296, 0.9927416825650927, 0.9912881830762481, 0.9898454334998612]"
"accuracy: 0.9874 ± 0.0072 [0.9912917271407837, 0.988388969521045, 0.9912917271407837, 0.9666182873730044, 0.9927431059506531, 0.9869375907111756, 0.9898403483309144, 0.988388969521045, 0.9869375907111756, 0.9912917271407837]","accuracy: 0.9853 ± 0.0074 [0.9666182873730044, 0.9825834542815675, 0.9927431059506531, 0.9811320754716981, 0.9898403483309144, 0.9912917271407837, 0.9825834542815675, 0.9912917271407837, 0.9854862119013063, 0.9898403483309144]","accuracy: 0.9907 ± 0.0013 [0.9927431059506531, 0.9912917271407837, 0.9912917271407837, 0.9912917271407837, 0.988388969521045, 0.9898403483309144, 0.9898403483309144, 0.9898403483309144, 0.9927431059506531, 0.9898403483309144]","accuracy: 0.9832 ± 0.0103 [0.9680696661828737, 0.9898403483309144, 0.9680696661828737, 0.9898403483309144, 0.9854862119013063, 0.9666182873730044, 0.9898403483309144, 0.9927431059506531, 0.9912917271407837, 0.9898403483309144]"
,,,
tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:,tcfd_recommendations:
"micro_f1: 0.6803 ± 0.0064 [0.6875, 0.69, 0.675, 0.68, 0.6725, 0.6825, 0.6725, 0.6725, 0.685, 0.685]","micro_f1: 0.6997 ± 0.0061 [0.7125, 0.7025, 0.705, 0.7, 0.7, 0.7025, 0.6975, 0.6925, 0.6925, 0.6925]","micro_f1: 0.7027 ± 0.0058 [0.71, 0.7025, 0.69, 0.71, 0.705, 0.6975, 0.7025, 0.7, 0.7025, 0.7075]","micro_f1: 0.6973 ± 0.0054 [0.6875, 0.7025, 0.6975, 0.695, 0.6975, 0.695, 0.695, 0.7075, 0.6925, 0.7025]"
"macro_f1: 0.5900 ± 0.0085 [0.5949119964315089, 0.6067283011125091, 0.5854445220296284, 0.5862043023062673, 0.5797757088291277, 0.591996008250532, 0.5826139131895692, 0.5793222384099155, 0.6000599290257964, 0.5930461956503101]","macro_f1: 0.6143 ± 0.0051 [0.6219874133539097, 0.6171527629702654, 0.6174046964939823, 0.6154604144631175, 0.6163453258660698, 0.6147558221143383, 0.6160352455048858, 0.607111256664828, 0.6031966978153706, 0.6138598955456955]","macro_f1: 0.6128 ± 0.0096 [0.6241657883065793, 0.6001774806659145, 0.6063236538590944, 0.6240608382011221, 0.6265656260488586, 0.6043632942026288, 0.6224136394715367, 0.608345276422535, 0.6043771875180708, 0.6076723778756353]","macro_f1: 0.6131 ± 0.0054 [0.6019962103376738, 0.6117934209697874, 0.6179101476400027, 0.6106704391943755, 0.6127028985264004, 0.6126987637139428, 0.6133903560048599, 0.6198600823951399, 0.60857949128807, 0.6212098616293034]"
"weighted_f1: 0.6743 ± 0.0066 [0.6806239710090044, 0.684355696676678, 0.6710301919891017, 0.6739618107711141, 0.6649854119112488, 0.6751807468944504, 0.6649127546999888, 0.6679661936876835, 0.6804012787298488, 0.6800535289191753]","weighted_f1: 0.6906 ± 0.0054 [0.7012375628889512, 0.6914697516468463, 0.6942046433477238, 0.6907837084263719, 0.6942515312638711, 0.6925104831190088, 0.6898171289931713, 0.683138193199577, 0.6827118807389335, 0.685394614105791]","weighted_f1: 0.6944 ± 0.0066 [0.7030924121207931, 0.690359537891528, 0.6820238539882895, 0.7049295792891406, 0.6990382018459723, 0.6887393472423742, 0.6980784611482388, 0.6922691418660741, 0.6916853270014355, 0.6933617483606714]","weighted_f1: 0.6919 ± 0.0048 [0.6831475565524346, 0.6964003005674594, 0.6930180354366943, 0.6903992563841301, 0.6926629731315179, 0.6907163360544993, 0.6890724753856909, 0.6983143892753538, 0.6867533159686886, 0.6989297952680285]"
"accuracy: 0.6803 ± 0.0064 [0.6875, 0.69, 0.675, 0.68, 0.6725, 0.6825, 0.6725, 0.6725, 0.685, 0.685]","accuracy: 0.6997 ± 0.0061 [0.7125, 0.7025, 0.705, 0.7, 0.7, 0.7025, 0.6975, 0.6925, 0.6925, 0.6925]","accuracy: 0.7027 ± 0.0058 [0.71, 0.7025, 0.69, 0.71, 0.705, 0.6975, 0.7025, 0.7, 0.7025, 0.7075]","accuracy: 0.6973 ± 0.0054 [0.6875, 0.7025, 0.6975, 0.695, 0.6975, 0.695, 0.695, 0.7075, 0.6925, 0.7025]"
,,,
water_forest_biodiversity_nature:,water_forest_biodiversity_nature:,water_forest_biodiversity_nature:,water_forest_biodiversity_nature:
"micro_f1: 0.9712 ± 0.0017 [0.97131931166348, 0.9712643678160919, 0.968299711815562, 0.9703915950334289, 0.97131931166348, 0.970334928229665, 0.9702780441035475, 0.9702780441035475, 0.9741626794258373, 0.9741131351869607]","micro_f1: 0.9693 ± 0.0037 [0.9712092130518234, 0.9682386910490857, 0.9702209414024976, 0.9702780441035475, 0.968421052631579, 0.9720885466794995, 0.9758454106280193, 0.9607655502392345, 0.9663784822286263, 0.9694072657743786]","micro_f1: 0.9639 ± 0.0030 [0.968299711815562, 0.9624639076034649, 0.9673704414587332, 0.9641819941916747, 0.9665711556829035, 0.9655172413793104, 0.958930276981853, 0.9634615384615385, 0.9596153846153846, 0.9623188405797102]","micro_f1: 0.9718 ± 0.0023 [0.9692898272552783, 0.9723546234509056, 0.9722488038277513, 0.9732313575525813, 0.973963355834137, 0.9692307692307692, 0.968421052631579, 0.970334928229665, 0.9761222540592168, 0.9732313575525813]"
"macro_f1: 0.9702 ± 0.0020 [0.9714126040409112, 0.970278554379378, 0.9670582091254367, 0.9693675449976269, 0.9687278151417495, 0.9687466669327925, 0.9703019034855971, 0.9691973687670578, 0.9734568489286599, 0.9734315504060936]","macro_f1: 0.9663 ± 0.0048 [0.9697121856326745, 0.9649750296376118, 0.9671475509497556, 0.9673310847607599, 0.9664123930513239, 0.9706140925449598, 0.9737105251206115, 0.9551072774404505, 0.9624959372304596, 0.9657844735869044]","macro_f1: 0.9618 ± 0.0036 [0.9660269368415512, 0.9597253173983769, 0.9667018157441623, 0.9637023231209028, 0.9628124879392002, 0.9656397352690254, 0.9558817592200994, 0.9601991422511928, 0.9569736700859506, 0.9600547878037393]","macro_f1: 0.9694 ± 0.0028 [0.9675762714061676, 0.9699293894206406, 0.9708384743693608, 0.9708882792006189, 0.9727641550923553, 0.9650260687880301, 0.9652096191737434, 0.9676897762898813, 0.9733910461922017, 0.9707838464300805]"
"weighted_f1: 0.9712 ± 0.0017 [0.9713240938594597, 0.9712478673721815, 0.9682826357925771, 0.9703872091577478, 0.9712591135075589, 0.9703087792823206, 0.9702834524489566, 0.970261958652901, 0.9741539002334522, 0.9741069864981186]","weighted_f1: 0.9693 ± 0.0037 [0.9711745811517601, 0.9681964899607661, 0.970200286045431, 0.9703082489141945, 0.9684436922642973, 0.9720550215987382, 0.9758094472743785, 0.9606556856884246, 0.9663780046252994, 0.9694042471057377]","weighted_f1: 0.9639 ± 0.0030 [0.9682718915293322, 0.9624357591129141, 0.9673611831400861, 0.9641746419372946, 0.9666075031293988, 0.9655204417431971, 0.9588994864025853, 0.9634267240420036, 0.9595526843942558, 0.9622890822236403]","weighted_f1: 0.9718 ± 0.0023 [0.9692462127987815, 0.9723272262605165, 0.9722248295516184, 0.9732016161748264, 0.9739524096409388, 0.9692041724938304, 0.9683916233300983, 0.9702831305592151, 0.9760359603301385, 0.9731647546409943]"
,,,
wximpactbench:,wximpactbench:,wximpactbench:,wximpactbench:
"micro_f1: 0.5340 ± 0.0245 [0.5212765957446809, 0.5638297872340425, 0.48677248677248675, 0.5139664804469274, 0.5157894736842106, 0.5319148936170213, 0.5654450261780105, 0.5595854922279793, 0.5517241379310345, 0.5297297297297298]","micro_f1: 0.5265 ± 0.0206 [0.5111111111111111, 0.5388127853881278, 0.4972972972972973, 0.5168539325842697, 0.4888888888888889, 0.5396825396825397, 0.5524861878453039, 0.5408163265306123, 0.5473684210526316, 0.53125]","micro_f1: 0.5117 ± 0.0389 [0.4756756756756757, 0.5685279187817259, 0.4888888888888889, 0.449438202247191, 0.4642857142857143, 0.518918918918919, 0.5641025641025641, 0.5157894736842106, 0.5353535353535354, 0.5360824742268041]","micro_f1: 0.5260 ± 0.0232 [0.47368421052631576, 0.5658536585365853, 0.5208333333333334, 0.5174129353233831, 0.5212765957446809, 0.5297297297297298, 0.5205479452054794, 0.5181347150259067, 0.5482233502538071, 0.5446009389671361]"
"macro_f1: 0.2608 ± 0.0324 [0.24526881720430108, 0.29052128427128426, 0.20565749235474007, 0.24562693379897682, 0.2226890756302521, 0.2505808440018966, 0.3011111111111111, 0.30217810862972155, 0.2937748381884259, 0.2507814992025518]","macro_f1: 0.2476 ± 0.0338 [0.23171993275839775, 0.23978919631093545, 0.2102292768959436, 0.20869931196018152, 0.2079124579124579, 0.3155794504181601, 0.24843674843674846, 0.28265422696115766, 0.27355519185306415, 0.25752865592169244]","macro_f1: 0.2434 ± 0.0489 [0.22054027624984718, 0.30200508200508197, 0.2189855072463768, 0.14047619047619048, 0.19144338807260156, 0.27078563411896744, 0.27543967549678566, 0.23601097005352326, 0.2903693528693529, 0.288179325915175]","macro_f1: 0.2524 ± 0.0323 [0.21600749480933812, 0.3257769423558898, 0.23029904236916376, 0.23642024377318496, 0.2227431513145799, 0.24433204189984217, 0.22899251132009754, 0.26528749028749027, 0.2837053442186324, 0.2708672128297178]"
"weighted_f1: 0.4446 ± 0.0337 [0.42843508397760593, 0.4760996923187006, 0.3798620062173023, 0.4348196606261122, 0.399402736301132, 0.44378343110400525, 0.4798898071625344, 0.4875554552973908, 0.4705732214019628, 0.44512950294594483]","weighted_f1: 0.4272 ± 0.0314 [0.4149339392936475, 0.4128311501649626, 0.3822467095194368, 0.4048597727181989, 0.38120878203522834, 0.476476791374152, 0.44092638307514337, 0.45537473327752354, 0.4634761241337644, 0.4399228613246935]","weighted_f1: 0.4196 ± 0.0489 [0.38849363724251207, 0.47925717198444473, 0.39266259432267336, 0.3165289256198347, 0.36980078144531664, 0.4383459943790522, 0.4667894796652389, 0.430632726570831, 0.4625412466321556, 0.4513168363940233]","weighted_f1: 0.4291 ± 0.0268 [0.39326948711112936, 0.4829385447088796, 0.41723481043530786, 0.4145009131640147, 0.4071923162832254, 0.429455000836052, 0.40106069241862913, 0.437971257392745, 0.46032103210321035, 0.4468021009704296]"
