CMB_MARK_CX,CMB_MARK_WX_SYN_CX,CMB_MARK_WX_SYN_CX_LRD,CMB_MARK_CX_LRD
"ndcg@10: 0.4931 ± 0.0140 [0.48684418219681647, 0.48608667141556344, 0.49700972734978255, 0.5258004434451183, 0.47896819205117214, 0.4958087127095973, 0.4722957593026996, 0.4878718447749763, 0.5041086577965335, 0.4961671902931327]","ndcg@10: 0.4942 ± 0.0119 [0.5151222913253554, 0.4936841241258704, 0.5166215407089807, 0.4847673917752016, 0.48647681059038217, 0.4964872742961862, 0.48777562002232655, 0.493289722292988, 0.48875460821116185, 0.47866149683024967]","ndcg@10: 0.4823 ± 0.0088 [0.47793547019059446, 0.47810915317513236, 0.46678505637301887, 0.4810662185803568, 0.48006703396228606, 0.48218943449993346, 0.49939818226759053, 0.4949505032564031, 0.4769434051062636, 0.48518347680120216]","ndcg@10: 0.4818 ± 0.0209 [0.47187180931899964, 0.4727228837776595, 0.4904703538038972, 0.49288346413794437, 0.42559758341444964, 0.485504942243253, 0.4998054748776005, 0.4913331269584124, 0.4862878220164643, 0.5013078746586005]"
,,,
climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:,climate_commitments_actions:
"precision: 0.6796 ± 0.0176 [0.6785714285714286, 0.6915887850467289, 0.6880733944954128, 0.6880733944954128, 0.6818181818181818, 0.6666666666666666, 0.632, 0.693069306930693, 0.6822429906542056, 0.6936936936936937]","precision: 0.6551 ± 0.0076 [0.6428571428571429, 0.6545454545454545, 0.6633663366336634, 0.6571428571428571, 0.6454545454545455, 0.65, 0.6574074074074074, 0.6571428571428571, 0.6530612244897959, 0.6698113207547169]","precision: 0.6125 ± 0.0185 [0.6101694915254238, 0.6033057851239669, 0.5950413223140496, 0.6339285714285714, 0.6320754716981132, 0.5785123966942148, 0.6140350877192983, 0.5950413223140496, 0.6306306306306306, 0.6320754716981132]","precision: 0.6778 ± 0.0237 [0.7029702970297029, 0.717391304347826, 0.6434782608695652, 0.7088607594936709, 0.6728971962616822, 0.6517857142857143, 0.673469387755102, 0.6633663366336634, 0.6605504587155964, 0.6831683168316832]"
"recall: 0.7612 ± 0.0247 [0.7755102040816326, 0.7551020408163265, 0.7653061224489796, 0.7653061224489796, 0.7653061224489796, 0.7346938775510204, 0.8061224489795918, 0.7142857142857143, 0.7448979591836735, 0.7857142857142857]","recall: 0.7051 ± 0.0279 [0.7346938775510204, 0.7346938775510204, 0.6836734693877551, 0.7040816326530612, 0.7244897959183674, 0.6632653061224489, 0.7244897959183674, 0.7040816326530612, 0.6530612244897959, 0.7244897959183674]","recall: 0.7184 ± 0.0200 [0.7346938775510204, 0.7448979591836735, 0.7346938775510204, 0.7244897959183674, 0.6836734693877551, 0.7142857142857143, 0.7142857142857143, 0.7346938775510204, 0.7142857142857143, 0.6836734693877551]","recall: 0.7000 ± 0.0513 [0.7244897959183674, 0.673469387755102, 0.7551020408163265, 0.5714285714285714, 0.7346938775510204, 0.7448979591836735, 0.673469387755102, 0.6836734693877551, 0.7346938775510204, 0.7040816326530612]"
"f1: 0.7176 ± 0.0109 [0.7238095238095238, 0.7219512195121951, 0.7246376811594203, 0.7246376811594203, 0.7211538461538461, 0.6990291262135923, 0.7085201793721974, 0.7035175879396985, 0.7121951219512195, 0.7368421052631579]","f1: 0.6789 ± 0.0136 [0.6857142857142857, 0.6923076923076923, 0.6733668341708543, 0.6798029556650246, 0.6826923076923077, 0.6565656565656566, 0.6893203883495146, 0.6798029556650246, 0.6530612244897959, 0.696078431372549]","f1: 0.6608 ± 0.0095 [0.6666666666666666, 0.6666666666666666, 0.6575342465753424, 0.6761904761904762, 0.6568627450980392, 0.639269406392694, 0.660377358490566, 0.6575342465753424, 0.6698564593301436, 0.6568627450980392]","f1: 0.6870 ± 0.0214 [0.7135678391959799, 0.6947368421052632, 0.6948356807511737, 0.632768361581921, 0.7024390243902439, 0.6952380952380952, 0.673469387755102, 0.6733668341708543, 0.6956521739130435, 0.6934673366834171]"
"accuracy: 0.8166 ± 0.0085 [0.81875, 0.821875, 0.821875, 0.821875, 0.81875, 0.80625, 0.796875, 0.815625, 0.815625, 0.828125]","accuracy: 0.7959 ± 0.0054 [0.79375, 0.8, 0.796875, 0.796875, 0.79375, 0.7875, 0.8, 0.796875, 0.7875, 0.80625]","accuracy: 0.7741 ± 0.0099 [0.775, 0.771875, 0.765625, 0.7875, 0.78125, 0.753125, 0.775, 0.765625, 0.784375, 0.78125]","accuracy: 0.8053 ± 0.0087 [0.821875, 0.81875, 0.796875, 0.796875, 0.809375, 0.8, 0.8, 0.796875, 0.803125, 0.809375]"
,,,
climate_detection:,climate_detection:,climate_detection:,climate_detection:
"precision: 0.9587 ± 0.0042 [0.9540983606557377, 0.9633333333333334, 0.9573770491803278, 0.9572368421052632, 0.9628378378378378, 0.9634551495016611, 0.9570957095709571, 0.9636963696369637, 0.9509803921568627, 0.9570957095709571]","precision: 0.9639 ± 0.0052 [0.9612903225806452, 0.9614147909967846, 0.961038961038961, 0.9668874172185431, 0.9605263157894737, 0.959866220735786, 0.9605263157894737, 0.9696969696969697, 0.9611650485436893, 0.9766666666666667]","precision: 0.9531 ± 0.0093 [0.9496644295302014, 0.9632107023411371, 0.952076677316294, 0.9488817891373802, 0.932475884244373, 0.9695945945945946, 0.9514563106796117, 0.9517684887459807, 0.9575163398692811, 0.9545454545454546]","precision: 0.9606 ± 0.0046 [0.9638157894736842, 0.9665551839464883, 0.9575163398692811, 0.9546925566343042, 0.9575163398692811, 0.9666666666666667, 0.9548387096774194, 0.9575163398692811, 0.9603960396039604, 0.9666666666666667]"
"recall: 0.9066 ± 0.0060 [0.909375, 0.903125, 0.9125, 0.909375, 0.890625, 0.90625, 0.90625, 0.9125, 0.909375, 0.90625]","recall: 0.9169 ± 0.0120 [0.93125, 0.934375, 0.925, 0.9125, 0.9125, 0.896875, 0.9125, 0.9, 0.928125, 0.915625]","recall: 0.9125 ± 0.0144 [0.884375, 0.9, 0.93125, 0.928125, 0.90625, 0.896875, 0.91875, 0.925, 0.915625, 0.91875]","recall: 0.9134 ± 0.0067 [0.915625, 0.903125, 0.915625, 0.921875, 0.915625, 0.90625, 0.925, 0.915625, 0.909375, 0.90625]"
"f1: 0.9319 ± 0.0030 [0.9312, 0.932258064516129, 0.9344, 0.9326923076923077, 0.9253246753246753, 0.9339774557165862, 0.9309791332263242, 0.9373996789727127, 0.9297124600638977, 0.9309791332263242]","f1: 0.9397 ± 0.0062 [0.946031746031746, 0.9477020602218701, 0.9426751592356688, 0.9389067524115756, 0.9358974358974359, 0.9273021001615509, 0.9358974358974359, 0.93354943273906, 0.9443561208267091, 0.9451612903225807]","f1: 0.9323 ± 0.0080 [0.9158576051779935, 0.9305331179321487, 0.9415481832543444, 0.9383886255924171, 0.919175911251981, 0.9318181818181818, 0.9348171701112877, 0.9381933438985737, 0.9361022364217252, 0.9363057324840764]","f1: 0.9364 ± 0.0019 [0.9391025641025641, 0.9337641357027464, 0.9361022364217252, 0.9379968203497615, 0.9361022364217252, 0.9354838709677419, 0.9396825396825397, 0.9361022364217252, 0.9341894060995185, 0.9354838709677419]"
"accuracy: 0.8940 ± 0.0045 [0.8925, 0.895, 0.8975, 0.895, 0.885, 0.8975, 0.8925, 0.9025, 0.89, 0.8925]","accuracy: 0.9060 ± 0.0092 [0.915, 0.9175, 0.91, 0.905, 0.9, 0.8875, 0.9, 0.8975, 0.9125, 0.915]","accuracy: 0.8940 ± 0.0121 [0.87, 0.8925, 0.9075, 0.9025, 0.8725, 0.895, 0.8975, 0.9025, 0.9, 0.9]","accuracy: 0.9008 ± 0.0025 [0.905, 0.8975, 0.9, 0.9025, 0.9, 0.9, 0.905, 0.9, 0.8975, 0.9]"
,,,
climate_sentiment:,climate_sentiment:,climate_sentiment:,climate_sentiment:
